SKBO,SEQM,2023-01-03 03:34:00,2023-01-03 06:18:00,0300
SEQM,SKBO,2023-01-03 04:29:00,2023-01-03 09:22:00,0320
SKBO,SEQM,2023-01-03 11:34:00,2023-01-03 15:01:00,0360
SEQM,SKBO,2023-01-03 12:29:00,2023-01-03 18:01:00,0360
SKBO,SEQM,2023-01-03 19:34:00,2023-01-04 00:27:00,0300
SEQM,SKBO,2023-01-03 20:29:00,2023-01-03 23:51:00,0340
SKBO,SVMI,2023-01-03 04:22:00,2023-01-03 10:35:00,0360
SVMI,SKBO,2023-01-03 05:56:00,2023-01-03 10:06:00,0340
SKBO,SVMI,2023-01-03 12:22:00,2023-01-03 17:52:00,0360
SVMI,SKBO,2023-01-03 13:56:00,2023-01-03 18:19:00,0340
SKBO,SVMI,2023-01-03 20:22:00,2023-01-04 03:51:00,0320
SVMI,SKBO,2023-01-03 21:56:00,2023-01-04 01:33:00,0300
SKBO,SBBR,2023-01-03 07:53:00,2023-01-03 12:22:00,0360
SBBR,SKBO,2023-01-03 04:47:00,2023-01-03 06:57:00,0360
SKBO,SBBR,2023-01-03 15:53:00,2023-01-03 21:49:00,0360
SBBR,SKBO,2023-01-03 12:47:00,2023-01-03 15:16:00,0340
SKBO,SBBR,2023-01-03 23:53:00,2023-01-04 06:48:00,0340
SBBR,SKBO,2023-01-03 20:47:00,2023-01-03 23:40:00,0300
SKBO,SPIM,2023-01-03 06:45:00,2023-01-03 11:50:00,0320
SPIM,SKBO,2023-01-03 02:09:00,2023-01-03 07:21:00,0300
SKBO,SPIM,2023-01-03 14:45:00,2023-01-03 18:23:00,0300
SPIM,SKBO,2023-01-03 10:09:00,2023-01-03 13:34:00,0300
SKBO,SPIM,2023-01-03 22:45:00,2023-01-04 03:56:00,0300
SPIM,SKBO,2023-01-03 18:09:00,2023-01-04 00:28:00,0360
SKBO,SLLP,2023-01-03 03:17:00,2023-01-03 09:09:00,0360
SLLP,SKBO,2023-01-03 02:38:00,2023-01-03 05:33:00,0360
